ProductionVolume,ProductionCost,SupplierQuality,DeliveryDelay,DefectRate,QualityScore,MaintenanceHours,DowntimePercentage,InventoryTurnover,StockoutRate,WorkerProductivity,SafetyIncidents,EnergyConsumption,EnergyEfficiency,AdditiveProcessTime,AdditiveMaterialCost,DefectStatus,C_CostPerUnit,C_EnergyPerUnit,C_AdditiveCostTimeRatio,C_ProductionPressure,C_SupplyRisk,C_MaintenanceIntensity,C_FailureRisk,C_DefectRisk,C_SafetyRisk,DefectProbability,RiskLevel
202,13175.403783454076,86.64853384,1,3.121492266688973,63.46349432717401,9,0.052342867,8.630515349694399,0.081321681,85.04237928,0,2419.6167853897314,0.4689466237325203,5.551638989779324,236.4393009685121,1,65.2247712052182,11.978300917770948,42.58909871549672,17178.56061456,13.351466160000001,0.04455445544554455,10.573259134,0.002574517150198417,0.0,0.9666666666666667,High Risk
535,19770.046092867626,86.31066361,4,0.8195305110016484,83.69781763161657,20,4.908328249649529,9.296598088201092,0.03848647,99.65744298305935,7,3915.566712518908,0.1194845582710166,9.080753556517903,353.95763117070123,1,36.95335718293014,7.318816285082071,38.978883081420115,53316.73199593675,54.757345559999976,0.037383177570093455,2625.955613562498,0.04806009131927007,0.07024061415252167,0.96,High Risk
960,19060.820997456784,82.13247237873196,0,4.514504070609866,90.35055003,1,2.464922789091977,5.097485700889168,0.002887365,92.81926429207655,2,3392.385361907013,0.4963915263771467,6.562827271335978,396.1894020789741,1,19.855021872350815,3.5337347519864717,60.36870782953318,89106.4937203935,0.0,0.0010416666666666667,2366.325877528298,0.12316365491300105,0.021547251157976788,0.9533333333333334,High Risk
370,5647.606036955175,87.33596641292537,5,0.6385239600693806,67.62869012018982,8,4.692475791653855,3.5776159908082663,0.055330971,96.88701345693424,8,4652.400275208078,0.1831250880808031,8.097495649797912,164.13586993599623,1,15.263800099878852,12.57405479785967,20.269954691496814,35848.19497906567,63.320167935373135,0.021621621621621623,1736.2160429119265,0.04430454322997483,0.082570405615361,0.8466666666666667,High Risk
206,7472.222235941557,81.98989338,3,3.867783602943844,82.72833363149964,9,2.746726169175264,6.851709481404519,0.068047139,88.31555363943427,7,1581.6303322233557,0.2635069441596037,6.406154013365929,365.7089635552469,1,36.27292347544445,7.677817146715319,57.08713259035364,18193.00404972346,54.030319860000006,0.043689320388349516,565.8255908501044,0.12841721780876955,0.07926123668520367,0.9733333333333334,High Risk
171,6975.931601818429,95.33191889424104,1,3.914573642169408,92.56843593531472,19,3.0273243011114435,7.930009365731895,0.074069495,87.07911774289636,7,1238.994421294104,0.118020523266287,7.279442018854667,171.7118038606049,1,40.79492164806099,7.245581411076632,23.58859421035978,14890.529134035278,4.668081105758958,0.1111111111111111,517.6724554900568,0.12802078587252833,0.08038666653316016,0.9533333333333334,High Risk
800,15889.698649779431,99.32548595496372,3,4.788999883768687,90.72991110585264,10,3.559561279519861,3.0468885305972844,0.040192495,91.06315789762183,8,3138.4311499645146,0.3339128812432125,4.891668839,188.72773739599336,1,19.862123312224288,3.9230389374556434,38.58146240222075,72850.52631809747,2.0235421351088263,0.0125,2847.649023615889,0.18788444015998285,0.0878511154751962,0.97,High Risk
120,17266.77994785418,99.40148913333414,4,0.7436048378104434,92.11968071468613,13,1.6048786683220275,8.380972117476272,0.009701963,88.70556885253279,3,1004.1085544431404,0.2934221061603966,9.333834716873657,312.5268961,1,143.88983289878482,8.36757128702617,33.4832258744646,10644.668262303934,2.3940434666634474,0.10833333333333334,192.5854401986433,0.012954838017287931,0.03381974817147392,0.94,High Risk
714,8202.670494660078,97.30142198750788,5,3.185855873530209,95.17293699478878,2,3.494919803375173,3.668746560100464,0.058432643,94.29896110273587,4,4150.875772539863,0.366682814,5.517451183952448,215.68092079042992,1,11.488334026134563,5.81355150215667,39.09068038839014,67329.45822735342,13.492890062460603,0.0028011204481792717,2495.3727396098734,0.11699030349047125,0.04241828280209917,0.9233333333333333,High Risk
221,12587.790394277436,92.01584298679238,2,2.4252825678217382,97.50728409,0,2.6339595492569186,5.933418343,0.032954789,85.3163618,6,3023.891554740037,0.317071250916589,5.965972023040868,364.6381764945946,0,56.958327575915995,13.682767216018267,61.11965914126727,18854.9159578,15.968314026415243,0.0,582.105060385779,0.06551404070760646,0.0703264868943345,0.02,Low Risk
566,17610.54542,94.01731394,3,1.9878482968679392,76.22084620814144,6,3.3623997479125336,8.851859599025223,0.094688748,88.99182062184799,1,2952.2623042315745,0.2592711138588276,5.724689529293646,482.3106496966153,0,31.114037844522965,5.216011138218329,84.25097068209502,50369.370471965965,17.948058180000018,0.01060070671378092,1903.118257318494,0.08769176602979226,0.011236987770474879,0.043333333333333335,Low Risk
314,15992.023171493758,85.70411605360829,0,0.9064335213458288,82.75076410091509,3,4.1791663045492005,3.5473960883415403,0.0502712108061327,97.90265495,6,2449.9839148966976,0.3951026791246683,3.845701181484266,159.55688053495768,0,50.930010100298595,7.802496544256998,41.48967197533948,30741.4336543,0.0,0.009554140127388535,1312.2582196284488,0.045777661038908464,0.06128536558139581,0.0,
430,13133.558082377724,92.61540840345242,1,3.0319435385208915,91.62638104182444,6,0.9211456513599198,3.935077184,0.0472266046798978,95.12215800686658,2,2499.895345,0.1100084511147831,3.0811459203926708,328.2043329237667,1,30.543158331110984,5.813710104651163,106.52021728394458,40902.527942952634,7.38459159654758,0.013953488372093023,396.0926300847655,0.03048097691867233,0.021025595317713735,0.7166666666666667,High Risk
558,13855.215356881594,89.11299098879755,0,2.655683265535761,87.88559255783133,15,3.0677545516787985,2.502169251993532,0.030920953,83.36140330035789,5,2724.5347130026234,0.316411608349838,1.6645146770399952,469.3196730692771,1,24.8301350481749,4.882678697137318,281.9558634976219,46515.663041599706,0.0,0.026881720430107527,1711.8070398367695,0.09269988616511392,0.05997979642910514,0.74,High Risk
187,12625.4082037442,89.64034679553865,3,0.9704950616796092,99.82080913057516,9,0.2605566430491829,3.1729128942650435,0.0338786505383547,97.73729658783196,5,1064.1293777041208,0.1455504815316037,7.463574838022938,170.61159066064494,0,67.51555189168022,5.690531431572838,22.859232253084645,18276.874461924577,31.078959613384058,0.0481283422459893,48.7240922501972,0.0025332286681454563,0.05115754348194737,0.05,Low Risk
472,9463.226769782308,95.15553120750316,5,3.2562027819368757,60.54710604418577,14,0.5105754447451843,3.172206558250949,0.051275478,91.78033180890375,5,1334.1831488648186,0.2744033332343333,3.603477368533337,246.74036135394329,1,20.049209258013363,2.8266592136966495,68.4728488955017,43320.31661380257,24.222343962484203,0.029661016949152543,240.991609919727,0.02745857386403652,0.0544779028518934,0.8766666666666667,High Risk
199,13475.329892885242,85.63836711194503,2,3.820789041138223,74.20532861263163,15,3.372971178677935,3.627420017,0.03066648,93.58574366544966,9,3020.192080044948,0.4164501267432066,4.5027816687604645,149.44673399591483,1,67.71522559238815,15.176844623341447,33.18986906088539,18623.56298942448,28.72326577610994,0.07537688442211055,671.221264556909,0.17367231648340095,0.09616849369892494,0.98,High Risk
971,15333.27953075136,86.36079223,2,3.952752354741417,71.24111705,5,0.3546882590415973,4.289603176519871,0.089230488,85.88513131698532,1,1600.4890608792164,0.15698429850416,9.279353464535914,356.8150873255794,1,15.791225057416437,1.6482894550764329,38.45258063390569,83394.46250879274,27.278415539999997,0.005149330587023687,344.402299529391,0.01967957422876776,0.011643458939466418,0.9666666666666667,High Risk
763,18099.84373791212,98.49283582257272,0,4.574179347180923,70.49263400662139,3,2.976788899069869,8.519866915828327,0.043901793,88.83088527271315,8,4115.050433387993,0.4743241395089941,6.098026144706863,367.6571710778805,1,23.721944610631876,5.39325089565923,60.29117657965601,67777.96546308014,0.0,0.003931847968545216,2271.28992999031,0.1931601293514418,0.09005876700924223,0.96,High Risk
230,14544.37030968872,81.12448589701944,4,2.3426183384994976,68.90119129995543,3,1.1000629932569272,9.326110913,0.0292022084013024,96.13624957812502,7,2097.940696018103,0.4554018769565618,1.8737025751354444,365.6729277742549,1,63.23639265082052,9.12148128703523,195.16060479760054,22111.337402968755,75.50205641192224,0.013043478260869565,253.01448844909328,0.03740178787750501,0.07281332515797236,0.9333333333333333,High Risk
761,16416.82305564737,89.71268596826681,4,4.7888274587996165,88.36495363260916,23,1.52042414255874,5.250244873831602,0.0155394833541149,86.61352437526364,6,1391.5985493972962,0.2659620283466793,8.196507215414648,316.8508193453381,1,21.572697839221252,1.8286446115601789,38.6568096651531,65912.89204957563,41.149256126932755,0.030223390275952694,1157.042772487201,0.08239747302057367,0.06927324621965814,0.9466666666666667,High Risk
408,7401.074524318595,98.25601600815725,5,4.394432322872087,63.39037893101288,22,0.648182511,3.0256716159064867,0.067235073,83.30123231020387,8,1940.8397036137992,0.1023899362903746,3.3051753919850992,398.5043471191088,1,18.139888539996555,4.756960057876959,120.56980337124129,33986.90278256318,8.719919959213769,0.05392156862745098,264.458464488,0.04493417180166522,0.0960369946294306,0.9666666666666667,High Risk
869,11923.362116296848,92.20726015636312,2,1.8342570696077256,89.66435335773353,3,1.2433374308641965,3.790479400764245,0.002578694,87.56609825966962,3,2428.3929206231523,0.4158979306697944,5.974352583815643,114.35091855199188,1,13.720784943954946,2.7944682630876323,19.140302978060816,76094.93938765289,15.58547968727376,0.0034522439585730723,1080.4602274209867,0.0254348622062957,0.034259834109586135,0.94,High Risk
